MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,12,434,46,47,17,Galatasaray 0-2 Atletico
Group Stage Match Day 2,17,394,31,54,14,Atletico 1-2 Benfica
Group Stage Match Day 3,21,556,29,60,7,Atletico 4-0 Astana
Group Stage Match Day 4,10,399,45,58,9,Astana 0-0 Atletico
Group Stage Match Day 5,19,568,29,61,7,Atletico 2-0 Galatasaray
Group Stage Match Day 6,5,395,57,44,9,Benfica 1-2 Atletico
Round of 16 Leg 1,12,460,31,54,8,PSV 0-0 Atletico
Round of 16 Leg 2,18,585,40,55,8,Atletico 0-0(8-7) PSV
Quarter-finals Leg 1,5,147,52,35,16,Barcelona 2-1 Atletico
Quarter-finals Leg 2,7,111,57,36,20,Atletico 2-0 Barcelona
Semi-finals Leg 1,7,148,47,35,7,Atletico 1-0 Bayern
Semi-finals Leg 2,5,134,77,36,10,Bayern 2-1 Atletico
Final,13,510,56,52,16,R Madrid 1-1(5-3) Atletico
