MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,17,731,23,63,14,Bayern 3-0 CSKA Moskva
Group Stage Match Day 2,14,593,27,59,13,Man City 3-1 Bayern
Group Stage Match Day 3,27,694,16,69,6,Bayern 5-0 FC Viktoria Plzen
Group Stage Match Day 4,21,615,54,64,6,Plzen 0-1 FC Bayern
Group Stage Match Day 5,8,598,57,60,10,CSKA Moskva 3-1 Bayern
Group Stage Match Day 6,11,477,38,57,12,Bayern 3-2 Man City
Round of 16 Leg 1,20,808,39,70,16,Arsenal 0-2 Bayern
Round of 16 Leg 2,12,579,54,61,14,Bayern 1-1 Arsenal
Quarter-finals Leg 1,13,686,48,64,10,Man Utd 1-1 Bayern
Quarter-finals Leg 2,18,442,44,60,10,Bayern 1-3 Man Utd
Semi-finals Leg 1,16,623,32,60,10,R Madrid 1-0 Bayern
Semi-finals Leg 2,15,579,31,62,13,Bayern 0-4 R Madrid
