MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,
Group Stage Match Day 1,11,465,25,55,11,Chelsea 2-1 Basel
Group Stage Match Day 2,20,492,44,54,14,Steaua Bucuresti 0-4 Chelsea
Group Stage Match Day 3,5,382,46,43,10,Schalke 0-3 Chelsea FC
Group Stage Match Day 4,7,546,33,54,12,Chelsea 3-0 FC Schalke 04
Group Stage Match Day 5,0,304,45,48,22,Basel 1-0 Chelsea FC
Group Stage Match Day 6,15,608,27,62,10,Chelsea 1-0 FC Steaua Bucuresti
Round of 16 Leg 1,7,257,52,45,18,Galatasaray 1-1 Chelsea FC
Round of 16 Leg 2,16,300,48,51,20,Chelsea 2-0 Galatasaray
Quarter-finals Leg 1,6,321,33,44,18,PSG 1-3 Chelsea FC
Quarter-finals Leg 2,9,335,41,51,18,Chelsea 2-0 PSG
Semi-finals Leg 1,2,145,86,41,16,Atletico 0-0 Chelsea
Semi-finals Leg 2,10,312,57,50,12,Chelsea 3-1 Atletico
