MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,13,449,44,63,15,Barcelona 1-0 APOEL
Group Stage Match Day 2,13,414,30,56,8,PSG 3-2 Barcelona
Group Stage Match Day 3,11,268,22,60,11,Barcelona 3-1 Ajax
Group Stage Match Day 4,11,421,31,56,6,Ajax 0-2 Barcelona
Group Stage Match Day 5,17,514,20,68,5,APOEL 0-4 Barcelona
Group Stage Match Day 6,5,371,38,58,12,Barcelona 3-1 PSG
Round of 16 Leg 1,10,358,40,59,13,Man City 1-2 Barcelona
Round of 16 Leg 2,17,323,44,55,6,Barcelona 1-0 Man City
Quarter-finals Leg 1,7,397,28,60,12,PSG 1-3 Barcelona
Quarter-finals Leg 2,8,405,37,52,11,Barcelona 2-0 PSG
Semi-finals Leg 1,14,200,36,47,15,Barcelona 3-0 Bayern
Semi-finals Leg 2,5,239,51,47,12,Bayern 3-2 Barcelona
Final,11,227,30,56,12,Juventus 1-3 Barcelona
