MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,19,321,35,63,9,Juventus 2-0 Malmo FF
Group Stage Match Day 2,3,242,43,57,27,Atletico 1-0 Juventus
Group Stage Match Day 3,13,267,26,57,14,Olympiacos 1-0 Juventus
Group Stage Match Day 4,9,281,28,55,9,Juventus 3-2 Olympiacos
Group Stage Match Day 5,15,336,48,54,10,Malmo FF 0-2 Juventus
Group Stage Match Day 6,9,435,29,64,14,Juventus 0-0 Atletico
Round of 16 Leg 1,7,198,50,51,8,Juventus 2-1 Dortmund
Round of 16 Leg 2,9,309,60,47,10,Dortmund 0-3 Juventus
Quarter-finals Leg 1,12,249,36,57,7,Juventus 1-0 Monaco
Quarter-finals Leg 2,4,173,60,47,17,Monaco 0-0 Juventus
Semi-finals Leg 1,8,206,41,51,21,Juventus 2-1 R Madrid
Semi-finals Leg 2,6,191,49,46,7,R Madrid 1-1 Juventus
Final,10,166,28,44,24,Juventus 1-3 Barcelona
