MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,9,514,33,55,20,Man City 1-2 Juventus
Group Stage Match Day 2,19,519,33,58,7,M'gladbach 1-2 Man City
Group Stage Match Day 3,12,290,62,46,14,Man City 2-1 Sevilla
Group Stage Match Day 4,19,354,72,45,11,Sevilla 1-3 Man City
Group Stage Match Day 5,10,525,42,55,12,Juventus 1-0 Man City
Group Stage Match Day 6,15,443,36,51,8,Man City 4-2 M'gladbach
Round of 16 Leg 1,12,429,49,50,10,Dynamo Kyiv 1-3 Man City
Round of 16 Leg 2,4,380,26,48,11,Man City 0-0 Dynamo Kyiv
Quarter-finals Leg 1,10,286,47,38,15,PSG 2-2 Man City
Quarter-finals Leg 2,7,278,41,42,18,Man City 1-0 PSG
Semi-finals Leg 1,3,384,60,48,20,Man City 0-0 R Madrid
Semi-finals Leg 2,4,358,35,47,10,R Madrid 1-0 Man City
