MatchType,ChancesCreated,SuccessfulPasses,DefensiveActions,Possession,FoulsCommitted,MatchResult
Group Stage Match Day 1,15,385,34,50,12,Galatasaray 1-6 R Madrid
Group Stage Match Day 2,17,519,21,57,12,R Madrid 4-0 FC Kobenhavn
Group Stage Match Day 3,10,538,36,56,13,R Madrid 1-2 Juventus
Group Stage Match Day 4,13,518,44,56,8,Juventus 2-2 R Madrid
Group Stage Match Day 5,7,447,31,52,6,R Madrid 1-4 Galatasaray
Group Stage Match Day 6,11,523,53,57,11,Kobenhavn 0-2 R Madrid
Round of 16 Leg 1,16,547,43,54,3,Schalke 6-1 R Madrid
Round of 16 Leg 2,17,521,31,54,7,R Madrid 1-3 Schalke
Quarter-finals Leg 1,14,541,49,57,7,R Madrid 3-0 Dortmund
Quarter-finals Leg 2,8,434,49,49,10,Dortmund 2-0 R Madrid
Semi-finals Leg 1,9,215,72,40,10,R Madrid 1-0 Bayern
Semi-finals Leg 2,6,209,67,38,7,Bayern 0-4 R Madrid
Final,12,502,63,58,14,R Madrid 1-4 Atletico
