Club	DefenceScore	AttackScore	PossessionScore	League	ClubCode	Year	SquadValue	FinalRound	UniqueName	SquadValueNum	Overall	img
Real Madrid	178.98	297.04	206.3	Spanish La Liga	RMA	2015-16	å£608.18m	Winner	RMA15	608.18	682.32	real_madrid_logo.svg
Barcelona	123.67	293.63	185.42	Spanish La Liga	FCB	2015-16	å£558.88m	Quarter-finals	FCB15	558.88	602.72	barcelona_logo.png
Atletico Madrid	175.95	192.65	31.14	Spanish La Liga	ATL	2015-16	å£289.43m	Final	ATL15	289.43	399.74	AtleticoLogo.svg
Valencia	109.04	144.3	-18.21	Spanish La Liga	VAL	2015-16	å£223.13m	Group Stage	VAL15	223.13	235.13	ValenciaLogo.svg
Sevilla	51.49	216.69	76.65	Spanish La Liga	SEV	2015-16	å£146.20m	Group Stage	SEV15	146.2	344.83	SevillaLogo.svg
Manchester City	56.4	191.61	74.78	English Premier League	MC	2015-16	å£408.72m	Semi-finals	MC15	408.72	322.79	ManCityLogo.svg
Manchester Utd	32.71	181.53	91.37	English Premier League	MUN	2015-16	å£320.66m	Group Stage	MUN15	320.66	305.61	manunited.png
Chelsea	127.3	251.59	34.99	English Premier League	CHE	2015-16	å£451.99m	Round of 16	CHE15	451.99	413.88	ChelseaLogo.svg
Arsenal	96.28	283.95	26.14	English Premier League	ARS	2015-16	å£341.70m	Round of 16	ARS15	341.7	406.37	ArsenalLogo.svg
Paris Saint-Germain	191.56	257.64	226.21	French Ligue 1	PSG	2015-16	å£343.10m	Quarter-finals	PSG15	343.1	675.41	psg2.png
Lyon	125.12	189.57	74.75	French Ligue 1	LYO	2015-16	å£145.01m	Group Stage	LYO15	145.01	389.44	LyonnaisLogo.svg
Bayern Munich	64.02	327.98	242.37	German Bundesliga	BAY	2015-16	å£475.36m	Semi-finals	BAY15	475.36	634.37	BayernMunichLogo.svg
Bayer Leverkusen	33.88	310.27	-47.31	German Bundesliga	LEV	2015-16	å£160.78m	Group Stage	LEV15	160.78	296.84	LeverkusenLogo.svg
Borussia MÌ¦nchengladbach	-24.58	258.54	17.69	German Bundesliga	MGB	2015-16	å£122.74m	Group Stage	MGB15	122.74	251.65	MonchenLogo.svg
Wolfsburg	138.74	168.81	12.92	German Bundesliga	WOL	2015-16	å£174.80m	Quarter-finals	WOL15	174.8	320.47	WolfsburgLogo.svg
Juventus	152.69	214.99	44.94	Italian Serie A	JUV	2015-16	å£329.89m	Round of 16	JUV15	329.89	412.62	JuventusLogo.svg
Roma	32.61	179.02	-26.63	Italian Serie A	ROM	2015-16	å£219.81m	Round of 16	ROM15	219.81	185	RomaLogo.svg
Benfica	125	248.32	-4.45	Portuguese Liga Nos	BEN	2015-16	å£130.31m	Quarter-finals	BEN15	130.31	368.87	BenficaLogo.svg
Porto	62.93	335.21	31.34	Portuguese Liga Nos	POR	2015-16	å£140.21m	Group Stage	POR15	140.21	429.48	PortoLogo.svg
Real Madrid	30.8	189.4	100	Spanish La Liga	RMA	2016-17	å£653.91m	TBD	RMA16	653.91	320.2	real_madrid_logo.svg
Barcelona	31.2	180.8	82.4	Spanish La Liga	FCB	2016-17	å£643.03m	TBD	FCB16	643.03	294.2	barcelona_logo.png
Atletico Madrid	172.2	107.8	62.8	Spanish La Liga	ATL	2016-17	å£419.05m	TBD	ATL16	419.05	342.8	AtleticoLogo.svg
Sevilla	133.2	119.4	47.8	Spanish La Liga	SEV	2016-17	å£174.25m	TBD	SEV16	174.25	300.4	SevillaLogo.svg
Manchester City	-7.8	161	40.6	English Premier League	MC	2016-17	å£440.30m	TBD	MC16	440.3	193.8	ManCityLogo.svg
Tottenham Hotspur	77.2	80.8	-4.8	English Premier League	MUN	2016-17	å£314.93m	TBD	MUN16	314.93	153.2	HotspurLogo.svg
Leicester City	76.2	77.8	-52.2	English Premier League	CHE	2016-17	å£178.93m	TBD	CHE16	178.93	101.8	LeceisterLogo.svg
Arsenal	69.8	177.4	77.4	English Premier League	ARS	2016-17	å£398.23m	TBD	ARS16	398.23	324.6	ArsenalLogo.svg
Paris Saint-Germain	46.8	134.4	101.6	French Ligue 1	PSG	2016-17	å£350.75m	TBD	PSG16	350.75	282.8	psg2.png
