Club,AttackScore,DefenceScore,PossessionScore
Real Madrid,297.04,178.98,206.3
Barcelona,293.63,123.67,185.42
Atletico Madrid,192.65,175.95,31.14
Valencia,144.3,109.04,-18.21
Sevilla,216.69,51.49,76.65
Manchester City,191.61,56.4,74.78
Manchester Utd,181.53,32.71,91.37
Chelsea,251.59,127.3,34.99
Arsenal,283.95,96.28,26.14
Paris Saint-Germain,257.64,191.56,226.21
Lyon,189.57,125.12,74.75
Bayern Munich,327.98,64.02,242.37
Bayer Leverkusen,310.27,33.88,-47.31
Borussia M̦nchengladbach,258.54,-24.58,17.69
Wolfsburg,168.81,138.74,12.92
Juventus,214.99,152.69,44.94
Roma,179.02,32.61,-26.63
Benfica,248.32,125,-4.45
Porto,335.21,62.93,31.34
Real Madrid,204.46,29.79,103.91
Barcelona,198.31,10.13,75.2
Atletico Madrid,101.53,161.14,48.41
Sevilla,136.79,179.62,70.28
Manchester City,170.98,-16.16,14.92
Tottenham Hotspur,90.39,101.64,-6
Leicester City,64.63,75.85,-57.38
Arsenal,210.81,88.45,108.01
Paris Saint-Germain,137.5,61.8,114.09
Lyon,92.43,98.46,27.73
Monaco,115.59,151.49,0.01
Bayern Munich,165.08,113.83,195.1
Borussia Dortmund,172.47,108,55.71
Bayer Leverkusen,79.4,161.06,-45.78
Borussia M̦nchengladbach,73.93,24.21,-16.49
Juventus,91.86,124.85,76.02
Napoli,129.38,-28.5,82.67
Benfica,102.28,60.15,-21.26
Porto ,121.28,91.05,10.88
Sporting CP,59.84,43.87,3.96
Real Madrid,181.95,102.8,114.13
Barcelona,188.72,69.25,119.83
Atletico Madrid,116.34,89.32,-24.59
Athletic Bilbao,72.95,78.1,-64.45
Manchester City,129.6,-17.02,58.65
Chelsea,205.11,73.07,62.87
Liverpool,91.2,3.03,41.79
Arsenal,158.37,91.95,48.59
Paris Saint-Germain,118.55,26.25,81.86
Monaco,75.6,116.88,-74.82
Bayern Munich,185.31,20.85,124.06
Borussia Dortmund,130.46,50.48,28.69
Bayer Leverkusen,95.96,63.7,-83.39
Schalke 04,114.11,12.73,45.87
Juventus,96.28,85.56,23.53
Roma,113.21,26.76,40.08
Benfica,69.62,77.38,-34.69
Porto ,153.1,107.14,9
Sporting CP,137.1,2.62,19.98
Real Madrid,217.54,87.84,62.94
Barcelona,159.06,82.21,159.93
Atletico Madrid,132.57,97.86,-35.74
Real Sociedad,38.73,30.31,0.33
Manchester City,149.47,-28.33,28.07
Manchester United,111.37,102.95,-13.45
Chelsea,141.53,95.79,15.51
Arsenal,89.2,80.45,22.38
Paris Saint-Germain,160.8,94.61,100.2
Marseille,86.22,-11.76,-13.91
Bayern Munich,180.49,71.06,170.68
Borussia Dortmund,121.7,51.35,-19.79
Bayer Leverkusen,76.43,4.15,7.55
Schalke 04,98.69,29.82,6.23
Juventus,137.77,-12,50.44
Napoli,111.12,63.38,-18.07
A.C. Milan,66.32,68.54,-24.06
Benfica,77.88,55.23,-25.45
Porto,109.55,30.48,45.22
